,precision,recall,f1-score,support
169,0.3,0.3333333333333333,0.3157894736842105,9.0
170,1.0,1.0,1.0,16.0
171,1.0,1.0,1.0,9.0
172,1.0,0.9090909090909091,0.9523809523809523,11.0
173,0.9375,1.0,0.967741935483871,15.0
174,0.8823529411764706,1.0,0.9375,15.0
175,1.0,1.0,1.0,13.0
176,1.0,1.0,1.0,14.0
177,0.9333333333333333,1.0,0.9655172413793104,14.0
178,1.0,1.0,1.0,12.0
179,1.0,1.0,1.0,19.0
180,1.0,1.0,1.0,16.0
181,0.8235294117647058,0.9333333333333333,0.875,15.0
182,1.0,1.0,1.0,10.0
183,0.9166666666666666,1.0,0.9565217391304348,11.0
186,0.8620689655172413,0.78125,0.819672131147541,32.0
187,1.0,1.0,1.0,12.0
188,0.75,1.0,0.8571428571428571,9.0
189,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
190,1.0,1.0,1.0,4.0
191,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
192,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
193,1.0,0.875,0.9333333333333333,16.0
194,0.9090909090909091,1.0,0.9523809523809523,10.0
195,0.75,0.9375,0.8333333333333334,16.0
196,0.5333333333333333,0.6666666666666666,0.5925925925925926,12.0
197,1.0,1.0,1.0,13.0
199,1.0,0.9166666666666666,0.9565217391304348,12.0
200,0.8888888888888888,1.0,0.9411764705882353,8.0
201,1.0,0.9523809523809523,0.975609756097561,21.0
202,1.0,0.8571428571428571,0.9230769230769231,7.0
203,0.9333333333333333,0.875,0.9032258064516129,16.0
204,0.45454545454545453,0.6666666666666666,0.5405405405405406,15.0
205,1.0,1.0,1.0,1.0
206,0.8666666666666667,1.0,0.9285714285714286,13.0
207,1.0,1.0,1.0,14.0
208,0.9411764705882353,1.0,0.9696969696969697,16.0
209,1.0,0.9090909090909091,0.9523809523809523,11.0
210,1.0,1.0,1.0,13.0
211,1.0,1.0,1.0,15.0
212,1.0,1.0,1.0,16.0
213,1.0,1.0,1.0,10.0
214,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
215,1.0,0.8181818181818182,0.9,11.0
217,1.0,1.0,1.0,14.0
218,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0
219,1.0,0.7857142857142857,0.88,14.0
220,0.9444444444444444,1.0,0.9714285714285714,17.0
221,1.0,1.0,1.0,13.0
222,1.0,1.0,1.0,10.0
223,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
224,0.5833333333333334,0.5,0.5384615384615384,14.0
225,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
226,1.0,1.0,1.0,11.0
227,0.8666666666666667,0.8125,0.8387096774193549,16.0
228,1.0,1.0,1.0,20.0
229,0.9230769230769231,1.0,0.96,12.0
230,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
231,1.0,1.0,1.0,14.0
232,1.0,1.0,1.0,6.0
233,0.6428571428571429,0.75,0.6923076923076923,12.0
234,1.0,1.0,1.0,11.0
235,1.0,1.0,1.0,10.0
236,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
237,1.0,1.0,1.0,11.0
238,0.9375,0.9375,0.9375,16.0
239,1.0,1.0,1.0,9.0
240,1.0,1.0,1.0,10.0
242,1.0,1.0,1.0,16.0
244,0.7894736842105263,0.9375,0.8571428571428571,16.0
245,0.875,1.0,0.9333333333333333,7.0
246,1.0,0.75,0.8571428571428571,12.0
247,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
248,0.5333333333333333,0.7272727272727273,0.6153846153846154,11.0
249,1.0,1.0,1.0,4.0
250,1.0,1.0,1.0,8.0
251,0.8,0.6956521739130435,0.7441860465116279,23.0
252,0.9285714285714286,1.0,0.9629629629629629,13.0
253,0.8125,0.8666666666666667,0.8387096774193549,15.0
254,0.9090909090909091,1.0,0.9523809523809523,10.0
